Semana,Día,Fecha,Cliente,Localidad,Lat,Lon,Horas,Tiempo_Desplazamiento_min ,id_tecnico
1,Friday,01/08/2025,3.0,Sto. Domingo,42.43311981728221,-2.950749636445161,6.0,46.06,1
2,Monday,04/08/2025,9.0,Logroño,42.45013177767869,-2.4478865559684446,6.0,65.76,1
2,Tuesday,05/08/2025,32.0,Vitoria,42.83850032905385,-2.7097929385014563,3.0,85.95,1
2,Tuesday,05/08/2025,39.0,Haro,42.5681060494229,-2.858152511919005,3.0,85.95,1
2,Wednesday,06/08/2025,31.0,Agoncillo,42.44963382972144,-2.29434887357344,3.0,153.82,1
2,Wednesday,06/08/2025,25.0,El Rasillo,42.19476099225876,-2.7015883235318703,2.25,153.82,1
2,Thursday,07/08/2025,30.0,Logroño,42.45013177767869,-2.4478865559684446,2.25,75.24,1
2,Thursday,07/08/2025,17.0,Haro,42.5681060494229,-2.858152511919005,2.0,75.24,1
2,Friday,08/08/2025,49.0,Cenicero,42.48705296252269,-2.632611302334742,2.0,143.13,1
2,Friday,08/08/2025,48.0,Araia,42.88686325403397,-2.313917076959883,2.0,143.13,1
3,Monday,11/08/2025,11.0,Alsasua,42.892317105968665,-2.160411690717142,2.0,161.38,1
3,Monday,11/08/2025,50.0,Fuenmayor,42.46763096774849,-2.555735355173662,2.0,161.38,1
3,Tuesday,12/08/2025,46.0,Los Arcos,42.573982646482136,-2.1932569768030103,2.0,134.54000000000002,1
3,Tuesday,12/08/2025,44.0,Sesma,42.47596610323336,-2.084939920137933,2.0,134.54000000000002,1
3,Tuesday,12/08/2025,23.0,Logroño,42.45013177767869,-2.4478865559684446,1.5,134.54000000000002,1
3,Wednesday,13/08/2025,22.0,Nalda,42.33454755287178,-2.4836896934940373,1.5,172.25,1
3,Wednesday,13/08/2025,21.0,Sotes,42.39728023698068,-2.6042157809448154,1.5,172.25,1
3,Wednesday,13/08/2025,19.0,Salinas,42.80254330447877,-2.9882562588873665,1.0,172.25,1
3,Thursday,14/08/2025,18.0,Nanclares,42.815165330083616,-2.8168162684239704,1.0,113.24,1
3,Thursday,14/08/2025,40.0,Vitoria,42.83850032905385,-2.7097929385014563,1.0,113.24,1
3,Thursday,14/08/2025,41.0,Miranda,42.69398677237486,-2.943052771196253,1.0,113.24,1
1,Monday,01/09/2025,28.0,Cenicero,42.48705296252269,-2.632611302334742,5.5,37.5,1
1,Tuesday,02/09/2025,25.0,El Rasillo,42.19476099225876,-2.7015883235318703,5.5,125.35,1
1,Wednesday,03/09/2025,26.0,Nieva,42.21901538839893,-2.6669882496729835,5.5,117.13,1
1,Thursday,04/09/2025,30.0,Logroño,42.45013177767869,-2.4478865559684446,5.5,65.76,1
1,Friday,05/09/2025,29.0,Laguardia,42.54642310684659,-2.5766050847639863,4.0,62.79,1
2,Monday,08/09/2025,32.0,Vitoria,42.83850032905385,-2.7097929385014563,3.0,118.56,1
2,Monday,08/09/2025,35.0,Laguardia,42.54642310684659,-2.5766050847639863,3.0,118.56,1
2,Tuesday,09/09/2025,39.0,Haro,42.5681060494229,-2.858152511919005,3.0,49.53,1
2,Tuesday,09/09/2025,34.0,Cenicero,42.48705296252269,-2.632611302334742,2.0,49.53,1
2,Wednesday,10/09/2025,37.0,Najera,42.41516740455801,-2.739775456567488,2.0,53.9,1
2,Wednesday,10/09/2025,36.0,Briones,42.54363626665786,-2.780999982678883,2.0,53.9,1
2,Thursday,11/09/2025,11.0,Alsasua,42.892317105968665,-2.160411690717142,2.0,172.02,1
2,Thursday,11/09/2025,46.0,Los Arcos,42.573982646482136,-2.1932569768030103,2.0,172.02,1
2,Friday,12/09/2025,48.0,Araia,42.88686325403397,-2.313917076959883,2.0,190.99,1
2,Friday,12/09/2025,44.0,Sesma,42.47596610323336,-2.084939920137933,2.0,190.99,1
3,Monday,15/09/2025,49.0,Cenicero,42.48705296252269,-2.632611302334742,2.0,93.34,1
3,Monday,15/09/2025,50.0,Fuenmayor,42.46763096774849,-2.555735355173662,2.0,93.34,1
3,Monday,15/09/2025,22.0,Nalda,42.33454755287178,-2.4836896934940373,1.5,93.34,1
3,Tuesday,16/09/2025,3.0,Sto. Domingo,42.43311981728221,-2.950749636445161,1.5,192.78,1
3,Tuesday,16/09/2025,21.0,Sotes,42.39728023698068,-2.6042157809448154,1.5,192.78,1
3,Tuesday,16/09/2025,7.0,Urdiain,42.889614724865645,-2.138824319888948,1.0,192.78,1
3,Wednesday,17/09/2025,18.0,Nanclares,42.815165330083616,-2.8168162684239704,1.0,151.87,1
3,Wednesday,17/09/2025,20.0,Miranda,42.67981995425053,-2.963886889611098,1.0,151.87,1
3,Wednesday,17/09/2025,9.0,Logroño,42.45013177767869,-2.4478865559684446,1.0,151.87,1
3,Wednesday,17/09/2025,17.0,Haro,42.5681060494229,-2.858152511919005,1.0,151.87,1
3,Thursday,18/09/2025,31.0,Agoncillo,42.44963382972144,-2.29434887357344,1.0,208.36,1
3,Thursday,18/09/2025,41.0,Miranda,42.67981995425053,-2.963886889611098,1.0,208.36,1
3,Thursday,18/09/2025,19.0,Salinas,42.80254330447877,-2.9882562588873665,1.0,208.36,1
3,Thursday,18/09/2025,40.0,Vitoria,42.83850032905385,-2.7097929385014563,1.0,208.36,1
3,Friday,19/09/2025,1.0,Haro,42.5681060494229,-2.858152511919005,0.5,96.33,1
3,Friday,19/09/2025,4.0,Durana,42.88702626937825,-2.639513912965261,0.5,96.33,1
3,Friday,19/09/2025,5.0,Haro,42.5681060494229,-2.858152511919005,0.5,96.33,1
1,Wednesday,01/10/2025,32.0,Vitoria,42.83850032905385,-2.7097929385014563,5.0,77.75,1
1,Thursday,02/10/2025,39.0,Haro,42.5681060494229,-2.858152511919005,5.0,15.67,1
1,Friday,03/10/2025,31.0,Agoncillo,42.44963382972144,-2.29434887357344,5.0,81.77000000000001,1
2,Monday,06/10/2025,40.0,Vitoria,42.83850032905385,-2.7097929385014563,3.0,109.7,1
2,Monday,06/10/2025,28.0,Cenicero,42.48705296252269,-2.632611302334742,2.25,109.7,1
2,Tuesday,07/10/2025,22.0,Nalda,42.33454755287178,-2.4836896934940373,2.25,92.02,1
2,Tuesday,07/10/2025,30.0,Logroño,42.45013177767869,-2.4478865559684446,2.25,92.02,1
2,Wednesday,08/10/2025,44.0,Sesma,42.47596610323336,-2.084939920137933,2.0,192.9,1
2,Wednesday,08/10/2025,11.0,Alsasua,42.892317105968665,-2.160411690717142,2.0,192.9,1
2,Thursday,09/10/2025,50.0,Fuenmayor,42.46763096774849,-2.555735355173662,2.0,152.43,1
2,Thursday,09/10/2025,48.0,Araia,42.88686325403397,-2.313917076959883,2.0,152.43,1
2,Friday,10/10/2025,49.0,Cenicero,42.48705296252269,-2.632611302334742,2.0,113.66,1
2,Friday,10/10/2025,46.0,Los Arcos,42.573982646482136,-2.1932569768030103,2.0,113.66,1
2,Friday,10/10/2025,23.0,Logroño,42.45013177767869,-2.4478865559684446,1.5,113.66,1
3,Monday,13/10/2025,3.0,Sto. Domingo,42.43311981728221,-2.950749636445161,1.5,171.22000000000003,1
3,Monday,13/10/2025,21.0,Sotes,42.39728023698068,-2.6042157809448154,1.5,171.22000000000003,1
3,Monday,13/10/2025,9.0,Logroño,42.45013177767869,-2.4478865559684446,1.0,171.22000000000003,1
3,Monday,13/10/2025,19.0,Salinas,42.80254330447877,-2.9882562588873665,1.0,171.22000000000003,1
3,Tuesday,14/10/2025,17.0,Haro,42.5681060494229,-2.858152511919005,1.0,165.6,1
3,Tuesday,14/10/2025,18.0,Nanclares,42.815165330083616,-2.8168162684239704,1.0,165.6,1
3,Tuesday,14/10/2025,7.0,Urdiain,42.889614724865645,-2.138824319888948,1.0,165.6,1
3,Tuesday,14/10/2025,41.0,Miranda,42.69398677237486,-2.943052771196253,1.0,165.6,1
3,Wednesday,15/10/2025,29.0,Laguardia,42.54642310684659,-2.5766050847639863,0.75,253.58,1
3,Wednesday,15/10/2025,25.0,El Rasillo,42.19476099225876,-2.7015883235318703,0.75,253.58,1
3,Wednesday,15/10/2025,10.0,San Vicente,42.55723123763941,-2.756225378311136,0.5,253.58,1
3,Wednesday,15/10/2025,1.0,Haro,42.5681060494229,-2.858152511919005,0.5,253.58,1
3,Wednesday,15/10/2025,4.0,Durana,42.88702626937825,-2.639513912965261,0.5,253.58,1
3,Wednesday,15/10/2025,5.0,Haro,42.5681060494229,-2.858152511919005,0.5,253.58,1
2,Monday,03/11/2025,39.0,Haro,42.5681060494229,-2.858152511919005,3.0,86.16,1
2,Monday,03/11/2025,32.0,Vitoria,42.83850032905385,-2.7097929385014563,3.0,86.16,1
2,Tuesday,04/11/2025,31.0,Agoncillo,42.44963382972144,-2.29434887357344,3.0,91.83,1
2,Tuesday,04/11/2025,30.0,Logroño,42.45013177767869,-2.4478865559684446,2.25,91.83,1
2,Wednesday,05/11/2025,25.0,El Rasillo,42.19476099225876,-2.7015883235318703,2.25,134.82,1
2,Wednesday,05/11/2025,17.0,Haro,42.5681060494229,-2.858152511919005,2.0,134.82,1
2,Thursday,06/11/2025,11.0,Alsasua,42.892317105968665,-2.160411690717142,2.0,172.9,1
2,Thursday,06/11/2025,35.0,Laguardia,42.54642310684659,-2.5766050847639863,2.0,172.9,1
2,Friday,07/11/2025,44.0,Sesma,42.47596610323336,-2.084939920137933,2.0,142.22,1
2,Friday,07/11/2025,37.0,Najera,42.41516740455801,-2.739775456567488,2.0,142.22,1
3,Monday,10/11/2025,36.0,Briones,42.54363626665786,-2.780999982678883,2.0,103.79,1
3,Monday,10/11/2025,46.0,Los Arcos,42.573982646482136,-2.1932569768030103,2.0,103.79,1
3,Tuesday,11/11/2025,48.0,Araia,42.88686325403397,-2.313917076959883,2.0,153.67,1
3,Tuesday,11/11/2025,50.0,Fuenmayor,42.46763096774849,-2.555735355173662,2.0,153.67,1
3,Wednesday,12/11/2025,49.0,Cenicero,42.48705296252269,-2.632611302334742,2.0,136.61,1
3,Wednesday,12/11/2025,21.0,Sotes,42.39728023698068,-2.6042157809448154,1.5,136.61,1
3,Wednesday,12/11/2025,26.0,Nieva,42.21901538839893,-2.6669882496729835,1.5,136.61,1
3,Thursday,13/11/2025,22.0,Nalda,42.33454755287178,-2.4836896934940373,1.5,243.03000000000003,1
3,Thursday,13/11/2025,7.0,Urdiain,42.889614724865645,-2.138824319888948,1.0,243.03000000000003,1
3,Thursday,13/11/2025,9.0,Logroño,42.45013177767869,-2.4478865559684446,1.0,243.03000000000003,1
3,Friday,14/11/2025,18.0,Nanclares,42.815165330083616,-2.8168162684239704,1.0,175.18,1
3,Friday,14/11/2025,20.0,Miranda,42.67981995425053,-2.963886889611098,1.0,175.18,1
3,Friday,14/11/2025,3.0,Sto. Domingo,42.43311981728221,-2.950749636445161,1.0,175.18,1
3,Friday,14/11/2025,41.0,Miranda,42.67981995425053,-2.963886889611098,1.0,175.18,1
4,Monday,17/11/2025,40.0,Vitoria,42.83850032905385,-2.7097929385014563,1.0,171.67000000000002,1
4,Monday,17/11/2025,19.0,Salinas,42.80254330447877,-2.9882562588873665,1.0,171.67000000000002,1
4,Monday,17/11/2025,29.0,Laguardia,42.54642310684659,-2.5766050847639863,0.75,171.67000000000002,1
4,Monday,17/11/2025,28.0,Cenicero,42.48705296252269,-2.632611302334742,0.75,171.67000000000002,1
1,Monday,01/12/2025,44.0,Sesma,42.47596610323336,-2.084939920137933,4.0,120.91,1
1,Tuesday,02/12/2025,50.0,Fuenmayor,42.46763096774849,-2.555735355173662,4.0,46.8,1
1,Wednesday,03/12/2025,49.0,Cenicero,42.48705296252269,-2.632611302334742,4.0,37.5,1
1,Thursday,04/12/2025,48.0,Araia,42.88686325403397,-2.313917076959883,4.0,112.41,1
1,Friday,05/12/2025,46.0,Los Arcos,42.573982646482136,-2.1932569768030103,4.0,102.23,1
2,Monday,08/12/2025,32.0,Vitoria,42.83850032905385,-2.7097929385014563,3.0,85.95,1
2,Monday,08/12/2025,39.0,Haro,42.5681060494229,-2.858152511919005,3.0,85.95,1
2,Tuesday,09/12/2025,25.0,El Rasillo,42.19476099225876,-2.7015883235318703,2.25,131.67,1
2,Tuesday,09/12/2025,28.0,Cenicero,42.48705296252269,-2.632611302334742,2.25,131.67,1
2,Wednesday,10/12/2025,30.0,Logroño,42.45013177767869,-2.4478865559684446,2.25,169.56,1
2,Wednesday,10/12/2025,11.0,Alsasua,42.892317105968665,-2.160411690717142,2.0,169.56,1
2,Thursday,11/12/2025,21.0,Sotes,42.39728023698068,-2.6042157809448154,1.5,121.67,1
2,Thursday,11/12/2025,22.0,Nalda,42.33454755287178,-2.4836896934940373,1.5,121.67,1
2,Thursday,11/12/2025,3.0,Sto. Domingo,42.43311981728221,-2.950749636445161,1.5,121.67,1
2,Friday,12/12/2025,23.0,Logroño,42.45013177767869,-2.4478865559684446,1.5,164.51,1
2,Friday,12/12/2025,35.0,Laguardia,42.54642310684659,-2.5766050847639863,1.0,164.51,1
2,Friday,12/12/2025,19.0,Salinas,42.80254330447877,-2.9882562588873665,1.0,164.51,1
3,Monday,15/12/2025,7.0,Urdiain,42.889614724865645,-2.138824319888948,1.0,234.19,1
3,Monday,15/12/2025,9.0,Logroño,42.45013177767869,-2.4478865559684446,1.0,234.19,1
3,Monday,15/12/2025,17.0,Haro,42.5681060494229,-2.858152511919005,1.0,234.19,1
3,Monday,15/12/2025,18.0,Nanclares,42.815165330083616,-2.8168162684239704,1.0,234.19,1
3,Tuesday,16/12/2025,41.0,Miranda,42.69398677237486,-2.943052771196253,1.0,240.25,1
3,Tuesday,16/12/2025,40.0,Vitoria,42.83850032905385,-2.7097929385014563,1.0,240.25,1
3,Tuesday,16/12/2025,31.0,Agoncillo,42.44963382972144,-2.29434887357344,1.0,240.25,1
3,Tuesday,16/12/2025,26.0,Nieva,42.21901538839893,-2.6669882496729835,0.75,240.25,1
